cd,nm,gb
A060310,3S,701
A095570,AJ네트웍스,701
A006840,AK홀딩스,701
A054620,APS홀딩스,701
A265520,AP시스템,701
A211270,AP위성,701
A027410,BGF,701
A282330,BGF리테일,701
A032790,BNGT,701
A138930,BNK금융지주,701
A001460,BYC,701
A013720,CBI,701
A001040,CJ,701
A079160,CJ CGV,701
A035760,CJ ENM,701
A311690,CJ 바이오사이언스,701
A000120,CJ대한통운,701
A011150,CJ씨푸드,701
A097950,CJ제일제당,701
A051500,CJ프레시웨이,701
A058820,CMG제약,701
A023460,CNH,701
A056730,CNT85,701
A056000,COWON,701
A065770,CS,701
A083660,CSA 코스믹,701
A000590,CS홀딩스,701
A012030,DB,701
A404950,DB금융스팩10호,701
A367340,DB금융스팩8호,701
A367360,DB금융스팩9호,701
A016610,DB금융투자,701
A005830,DB손해보험,701
A000990,DB하이텍,701
A139130,DGB금융지주,701
A001530,DI동일,701
A000210,DL,701
A001880,DL건설,701
A375500,DL이앤씨,701
A068790,DMS,701
A004840,DRB동일,701
A241520,DSC인베스트먼트,701
A155660,DSR,701
A069730,DSR제강,701
A017940,E1,701
A245620,EDGC,701
A037370,EG,701
A278990,EMB,701
A079190,EMW,701
A050120,ES큐브,701
A383220,F&F,701
A007700,F&F홀딩스,701
A214270,FSN,701
A130500,GH신소재,701
A114090,GKL,701
A900290,GRT,701
A078930,GS,701
A083450,GST,701
A006360,GS건설,701
A001250,GS글로벌,701
A007070,GS리테일,701
A066400,HANATOURIST,701
A297890,HB솔루션,701
A078150,HB테크놀러지,701
A012630,HDC,701
A039570,HDC랩스,701
A089470,HDC현대EP,701
A294870,HDC현대산업개발,701
A097230,HJ중공업,701
A195940,HK이노엔,701
A134610,HK자산관리대부,701
A028300,HLB,701
A067630,HLB생명과학,701
A047920,HLB제약,701
A115450,HLB테라퓨틱스,701
A011200,HMM,701
A036640,HRS,701
A082740,HSD엔진,701
A335870,IBKS제12호스팩,701
A351340,IBKS제13호스팩,701
A388790,IBKS제16호스팩,701
A104770,IBK투자증권,701
A003560,IHQ,701
A095340,ISC,701
A099520,ITX-AI,701
A175330,JB금융지주,701
A950170,JTC,701
A234080,JW생명과학,701
A067290,JW신약,701
A001060,JW중외제약,701
A096760,JW홀딩스,701
A035900,JYP Ent.,701
A024840,KBI메탈,701
A143500,KBS미디어,701
A105560,KB금융,701
A024120,KB오토시스,701
A002380,KCC,701
A021320,KCC건설,701
A344820,KCC글라스,701
A036670,KCI,701
A009070,KCTC,701
A009440,KC그린홀딩스,701
A112190,KC산업,701
A119650,KC코트렐,701
A044180,KD,701
A092220,KEC,701
A151860,KG ETS,701
A016380,KG동부제철,701
A046440,KG모빌리언스,701
A035600,KG이니시스,701
A001390,KG케미칼,701
A226360,KH E&T,701
A111870,KH 일렉트론,701
A033180,KH 필룩스,701
A060720,KH바텍,701
A001940,KISCO홀딩스,701
A122450,KMH,701
A052900,KMH하이텍,701
A058400,KNN,701
A114450,KPX생명과학,701
A025000,KPX케미칼,701
A092230,KPX홀딩스,701
A000040,KR모터스,701
A044450,KSS해운,701
A030200,KT,701
A033780,KT&G,701
A030210,KTB투자증권,701
A058850,KTcs,701
A058860,KTis,701
A060370,KT서브마린,701
A093050,LF,701
A003550,LG,701
A034220,LG디스플레이,701
A051900,LG생활건강,701
A373220,LG에너지솔루션,701
A032640,LG유플러스,701
A011070,LG이노텍,701
A066570,LG전자,701
A037560,LG헬로비전,701
A051910,LG화학,701
A079550,LIG넥스원,701
A006260,LS,701
A010120,LS ELECTRIC,701
A000680,LS네트웍스,701
A104230,LS전선,701
A229640,LS전선아시아,701
A108320,LX세미콘,701
A001120,LX인터내셔널,701
A108670,LX하우시스,701
A383800,LX홀딩스,701
A023150,MH에탄올,701
A035420,NAVER,701
A160550,NEW,701
A053290,NE능률,701
A181710,NHN,701
A104200,NHN벅스,701
A060250,NHN한국사이버결제,701
A005940,NH투자증권,701
A034310,NICE,701
A030190,NICE평가정보,701
A008260,NI스틸,701
A004250,NPC,701
A010060,OCI,701
A178920,PI첨단소재,701
A024940,PN풍년,701
A005490,POSCO,701
A218410,RFHIC,701
A327260,RF머트리얼즈,701
A091340,S&K폴리텍,701
A010950,S-Oil,701
A019550,SBI인베스트먼트,701
A950110,SBI핀테크솔루션즈,701
A034120,SBS,701
A046140,SBS콘텐츠허브,701
A036120,SCI평가정보,701
A099220,SDN,701
A036540,SFA반도체,701
A255220,SG,701
A040610,SG&G,701
A049470,SGA,701
A184230,SGA솔루션즈,701
A005090,SGC에너지,701
A016250,SGC이테크건설,701
A001380,SG글로벌,701
A004060,SG세계물산,701
A001970,SG신성건설,701
A001770,SHD,701
A002360,SH에너지화학,701
A009160,SIMPAC,701
A123700,SJM,701
A025530,SJM홀딩스,701
A034730,SK,701
A337450,SK5호스팩,701
A340350,SK6호스팩,701
A011790,SKC,701
A018670,SK가스,701
A001740,SK네트웍스,701
A006120,SK디스커버리,701
A210980,SK디앤디,701
A068400,SK렌터카,701
A302440,SK바이오사이언스,701
A326030,SK바이오팜,701
A402340,SK스퀘어,701
A361610,SK아이이테크놀로지,701
A003340,SK에코플랜트,701
A096770,SK이노베이션,701
A001510,SK증권,701
A285130,SK케미칼,701
A017670,SK텔레콤,701
A000660,SK하이닉스,701
A048550,SM C&C,701
A063440,SM Life Design,701
A950180,SNK,701
A064960,SNT모티브,701
A100840,SNT에너지,701
A003570,SNT중공업,701
A036530,SNT홀딩스,701
A005610,SPC삼립,701
A011810,STX,701
A077970,STX엔진,701
A071970,STX중공업,701
A002820,SUN&L,701
A289080,SV인베스트먼트,701
A084870,TBH글로벌,701
A002710,TCC스틸,701
A089230,THE E&M,701
A161570,THE MIDONG,701
A192410,THQ,701
A032540,TJ미디어,701
A048770,TPC,701
A246690,TS인베스트먼트,701
A317240,TS트릴리온,701
A002900,TYM,701
A038340,UCI,701
A073570,WI,701
A024070,WISCOM,701
A057030,YBM넷,701
A037270,YG PLUS,701
A040300,YTN,701
A051390,YW,701
A052220,iMBC,701
A079940,가비아,701
A078890,가온미디어,701
A000500,가온전선,701
A036620,감성코퍼레이션,701
A000860,강남제비스코,701
A217730,강스템바이오텍,701
A035250,강원랜드,701
A114190,강원에너지,701
A094480,갤럭시아머니트리,701
A011420,갤럭시아에스엠,701
A000800,경남기업,701
A039240,경남스틸,701
A053950,경남제약,701
A002100,경농,701
A009450,경동나비엔,701
A267290,경동도시가스,701
A012320,경동인베스트,701
A011040,경동제약,701
A000050,경방,701
A214390,경보제약,701
A012610,경인양행,701
A009140,경인전자,701
A024910,경창산업,701
A013580,계룡건설,701
A012200,계양전기,701
A002140,고려산업,701
A198440,고려시멘트,701
A049720,고려신용정보,701
A010130,고려아연,701
A002240,고려제강,701
A014570,고려제약,701
A348150,고바이오랩,701
A098460,고영,701
A035290,골드앤에스,701
A038530,골드퍼시픽,701
A123900,골든블루,701
A900280,골든센츄리,701
A215000,골프존,701
A121440,골프존뉴딘홀딩스,701
A183410,골프존데카,701
A068750,곰앤컴퍼니,701
A076340,관악산업,701
A009290,광동제약,701
A014200,광림,701
A017040,광명전기,701
A017900,광전자,701
A037710,광주신세계,701
A026910,광진실업,701
A355150,교보10호스팩,701
A397880,교보11호스팩,701
A331520,교보9호스팩,701
A030610,교보증권,701
A201150,교육혁명,701
A339770,교촌에프앤비,701
A053270,구영테크,701
A007690,국도화학,701
A005320,국동,701
A001140,국보,701
A066620,국보디자인,701
A043650,국순당,701
A006050,국영지앤엠,701
A060480,국일신동,701
A078130,국일제지,701
A307750,국전약품,701
A002720,국제약품,701
A243870,굿센,701
A204020,그리티,701
A083420,그린케미칼,701
A186230,그린플러스,701
A014530,극동유화,701
A900070,글로벌에스엠,701
A204620,글로벌텍스프리,701
A019660,글로본,701
A014280,금강공업,701
A053260,금강철강,701
A008870,금비,701
A001570,금양,701
A002990,금호건설,701
A011780,금호석유,701
A214330,금호에이치티,701
A001210,금호전기,701
A073240,금호타이어,701
A036190,금화피에스시,701
A049080,기가레인,701
A035460,기산텔레콤,701
A092440,기신정기,701
A000270,기아,701
A024110,기업은행,701
A013700,까뮤이앤씨,701
A308100,까스텔바작,701
A004540,깨끗한나라,701
A237010,끄렘드라끄렘,701
A187790,나노,701
A286750,나노브릭,701
A151910,나노스,701
A121600,나노신소재,701
A247660,나노씨엠에스,701
A039860,나노엔텍,701
A091970,나노캠텍,701
A244880,나눔테크,701
A288490,나라소프트,701
A051490,나라엠앤디,701
A137080,나래나노텍,701
A190510,나무가,701
A242040,나무기술,701
A089600,나스미디어,701
A293580,나우IB,701
A257990,나우코스,701
A138610,나이벡,701
A130580,나이스디앤비,701
A036800,나이스정보통신,701
A267320,나인테크,701
A001260,남광토건,701
A008350,남선알미늄,701
A004270,남성,701
A003920,남양유업,701
A025860,남해화학,701
A111710,남화산업,701
A091590,남화토건,701
A079180,내일신문,701
A168330,내츄럴엔도텍,701
A094860,네오리진,701
A253590,네오셈,701
A212560,네오오토,701
A095660,네오위즈,701
A042420,네오위즈홀딩스,701
A950220,네오이뮨텍(Reg.S),701
A311390,네오크레마,701
